"mz_rt_min","comp1","comp2"
"55.01853_1.193",0,0
"55.0551_1.003",0,0
"57.05806_1.189",0,0
"58.066_0.799",0,0.0718724306207719
"58.06601_1.092",0,0
"59.05_1",0,0
"60.05653_0.953",0,0
"61.02928_0.045",0,0
"62.06094_0.929",0,0
"68.98293_0.809",0,0
"69.03428_1.187",0,0
"69.07071_1.616",0,0
"69.98368_0.805",0,0
"70.02953_1.06",0,0
"70.06583_1.066",0,0
"70.06594_0.877",0,0
"70.06594_1.144",0,0.0304044117062095
"70.06594_1.288",0,0
"70.99855_0.8",0,0
"72.08159_1.171",0,0.0717505446441767
"72.0816_1.282",0,0
"73.01424_0.8",0,0
"74.02442_1.072",0,0
"74.06082_1.054",0,0.0945040512470253
"75.04484_8.291",0,0
"76.04007_1.018",0,0.0269816714080343
"76.07643_1.045",0,0
"76.07648_0.951",0,0.0894522406972599
"77.00909_0.801",0,0
"77.03886_2.487",0,0
"82.06583_1.002",0,0
"83.04985_1.002",0,0
"83.06111_0.875",0,0
"84.04509_1.061",0,0
"84.08141_1.184",0,0.0657285813762373
"84.0815_0.871",0,0.149905221301126
"84.9604_0.805",0,0
"84.96041_0.979",0,0
"85.0654_8.101",0,0
"86.09712_1.638",0,0
"86.09713_1.233",0,0
"86.09713_1.235",0,0
"86.95641_0.598",0,0
"86.99335_0.8",0,0
"87.05598_1.044",0,0
"87.99417_0.797",0,0
"88.03995_1.273",0,0
"88.95324_0.803",0,0
"90.05558_1.038",0,0.0174816774141713
"90.97727_0.908",0,0
"91.02463_0.802",0,0
"91.02466_0.806",0,0
"91.05482_2.488",0,0
"91.05487_1.721",0,0.0626193172744965
"91.05489_1.206",0,0
"92.02537_0.804",0,0
"93.02222_0.81",0,0
"93.04534_0.892",0,0
"94.04192_2.493",0,0
"95.04972_2.495",0,0
"95.04973_1.209",0,0.0230552117244494
"95.04973_1.724",0,0.0121719175172858
"95.06097_0.85",0,0
"96.04497_1.146",0,0
"97.02897_1.147",0,0
"98.0606_1.167",0,0
"98.97592_0.795",0,0
"98.98474_1.387",0,0
"100.02498_0.801",0,0
"100.07624_0.999",0,0
"100.07627_3.125",0,0
"101.00888_0.799",0,0
"101.02387_1.818",0,0
"101.07142_1.066",0,0
"101.10789_0.596",0,0
"102.00958_0.799",0,0
"102.05547_1.061",0,0
"102.97077_0.804",0,0
"103.00639_0.801",0,0
"103.05475_2.499",0,0
"104.03478_0.988",0,0
"104.05337_1.34",0,0
"104.05338_1.198",0,0
"104.05339_1.197",0,0
"104.05339_1.339",0,0
"104.07112_0.965",0,0
"104.07114_0.971",0,0
"104.07122_1.088",0,0
"104.10749_1.082",0,0
"105.00376_0.802",0,0
"105.07036_2.24",0,0
"106.00446_0.801",0,0
"106.05032_1.034",0,0
"106.05033_1.271",0,0
"106.05033_1.28",0,0
"106.08676_0.938",0,0
"107.00129_0.801",0,0
"107.04958_2.492",0,0
"107.05283_0.88",0,0
"108.04481_1.136",0,0
"110.00913_0.797",0,0
"110.07174_0.897",0,0
"111.00986_0.797",0,0
"111.0557_1.074",0,0
"111.09207_0.867",0,0.0706886437368241
"111.11722_8.543",0,0
"112.00665_0.799",0,0
"112.05092_1.026",0,0
"112.05093_1.052",0,0
"112.07606_0.871",0,0.221211964870937
"112.07609_1.133",0,0.0359248549836332
"112.8961_0.938",0,0
"113.03495_1.263",0,0
"113.03495_1.532",0,0
"113.03497_1.267",0,0
"113.07132_1.066",0,0
"114.05533_1.099",0,0
"114.06658_0.994",0,0
"114.09175_4.395",0,0
"114.98798_0.8",0,0
"114.98803_0.437",0,0
"115.03951_1.818",0,0
"115.03955_1.121",0,0
"115.03964_0.965",0,0
"115.05063_1.382",0,0
"115.05432_3.655",0,0
"115.08698_0.877",0,0
"116.03457_1.063",0,0
"116.03458_1.268",0,0
"116.07098_0.876",0,0
"116.07099_0.876",0,0
"116.07099_1.144",0,0
"116.071_1.291",0,0
"116.98627_0.802",0,0
"117.06627_0.985",0,0
"117.09144_5.038",0,0
"117.97979_0.329",0,0
"118.06546_3.633",0,0
"118.06546_7.739",0,0.0893191627413888
"118.06548_3.651",0,0
"118.08659_1.001",0,0
"118.08659_1.285",0,0
"118.0866_1.002",0,0
"118.0866_1.171",0,0
"118.08662_1.297",0,0
"118.12288_1.158",0,0
"118.96382_0.351",0,0
"119.01926_0.805",0,0
"119.04936_1.72",0,0
"119.04938_8.156",0,0
"119.04944_1.209",0,0.0854775038646895
"119.07346_2.498",0,0
"119.94351_0.346",0,0
"120.00345_0.983",0,0
"120.01164_1.385",0,0.00481310144022392
"120.01976_0.803",0,0
"120.06087_0.978",0,0
"120.06581_1.056",0,0.051142708654986
"120.06582_1.058",0,0.051142708654986
"120.06587_1.285",0,0
"120.08106_1.219",0,0
"120.0811_6.814",0,0
"120.08112_6.808",0,0
"120.10211_1.014",0,0
"120.9587_0.348",0,0
"120.98129_0.796",0,0
"121.0167_0.788",0,0
"121.01675_0.801",0,0
"121.02865_1.254",0,0
"121.03995_1.169",0,0
"121.06509_1.182",0,0
"121.06512_1.461",0,0
"121.96645_0.909",0,0
"122.07149_0.938",0,0
"122.0715_0.937",0,0
"123.04427_1.723",0,0.0862557919865746
"123.0443_1.209",0,0.0462307174274169
"123.05555_0.998",0,0
"123.59452_0.883",0,0
"124.03958_1.512",0,0
"124.0873_0.944",0,0
"126.02219_1.084",0,0
"126.02223_1.207",0,0
"126.05517_1.145",0,0
"126.06636_1.173",0,0
"126.06641_1.057",0,0
"126.10284_0.853",0,0
"127.03919_1.141",0,0
"127.05043_2.263",0,0
"127.05045_1.006",0,0
"127.05047_2.941",0,0
"127.9562_0.334",0,0
"128.01947_0.804",0,0
"128.07088_0.983",0,0.132048781879361
"128.07095_1.193",0,0.138792334599612
"129.01987_0.798",0,0
"129.02028_0.799",0,0
"129.06612_0.98",0,0
"129.07015_7.851",0,0
"129.1025_0.875",0,0.136227890155804
"129.13879_0.772",0,0
"130.05006_1.06",0,0
"130.05014_1.277",0,0
"130.06515_3.645",0,0
"130.06531_7.264",0,-0.101329737138467
"130.08644_1.196",0,0
"130.15931_3.329",0,0
"130.60226_0.918",0,0
"130.96536_0.802",0,0
"130.96536_0.807",0,0
"131.00169_0.794",0,0
"131.57377_0.953",0,0
"132.0657_1.109",0,0
"132.07691_1.069",0,0
"132.08096_3.642",0,0
"132.08096_3.653",0,0
"132.10211_1.63",0,0
"132.10212_1.237",0,0
"132.13849_1.198",0,0
"132.99835_0.803",0,0
"132.99837_0.801",0,0
"133.03183_1.339",0,0
"133.03195_1.198",0,0
"133.03475_0.801",0,0
"133.0609_1.038",0,0
"133.0971_1.058",0,0.351376597002008
"133.09719_1.064",0,0.333948237710621
"133.99888_0.802",0,0
"134.03262_0.985",0,0
"134.0351_0.796",0,0
"134.03514_0.798",0,0
"134.04491_1.278",0,0
"134.04492_1.068",0,0
"134.06023_6.48",0,0
"134.08127_1.003",0,0
"134.11768_1.123",0,0
"134.95881_0.327",0,0
"135.10174_3.728",0,0
"136.07582_1.369",0,0
"136.07583_1.219",0,0
"136.07583_1.719",0,0.0896615953400227
"136.07587_6.968",0,0
"137.0459_2.544",0,0.0309912688850491
"137.04592_1.319",0,0
"137.04592_1.821",0,0
"137.05929_7.845",0,0
"137.05985_1.214",0,0.0994046874585861
"137.09618_8.448",0,0
"138.05508_1.149",0,0
"138.58148_0.941",0,0.164985139269506
"139.0503_1.168",0,0
"139.11181_8.462",0,0
"140.94014_0.369",0,0
"141.01592_1.828",0,0
"141.06591_1.077",0,0.0230430573971906
"142.03506_0.802",0,0
"142.05006_1.013",0,0
"144.00903_1.4",0,0.0558721974765054
"144.04793_0.941",0,0
"144.06562_1.156",0,0
"144.08091_3.647",0,0
"144.10197_1.257",0,0
"144.10203_0.831",0,0
"144.99214_0.792",0,0
"144.99215_0.797",0,0
"145.03461_0.793",0,0
"145.06081_0.976",0,0
"145.09735_0.99",0,0
"145.1084_1.016",0,0
"145.96666_0.33",0,0
"146.06015_3.649",0,0
"146.06016_7.255",0,0
"146.08131_0.984",0,0
"146.11765_1.134",0,0.116718745040732
"146.11767_1.136",0,0.116718745040732
"147.01391_0.8",0,0
"147.02517_0.797",0,0
